task_id,input_height,input_width,output_height,output_width,size_ratio,input_colors,output_colors,color_change,shape_change,grid_area,complexity_score,training_examples,pattern_type,confidence
5582e5ca,3,3,3,3,1.0,5,1,True,False,9,0.36,3,mapping,0.9
5587a8d0,6,6,3,3,0.25,3,2,True,True,36,0.88,3,extraction,0.85
5614dbcf,9,9,3,3,0.1111111111111111,4,3,True,True,81,1.8,2,extraction,0.85
5623160b,10,10,10,10,1.0,7,7,False,False,100,2.34,3,symmetry,0.6
56dc2b01,17,5,17,5,1.0,3,4,True,False,85,1.9,3,mapping,0.9
56ff96f3,10,10,10,10,1.0,2,2,False,False,100,2.16,4,symmetry,0.6
5751f35e,10,10,10,10,1.0,4,3,True,False,100,2.18,2,mapping,0.9
575b1a71,10,10,10,10,1.0,2,5,True,False,100,2.2,3,mapping,0.9
5783df64,9,9,3,3,0.1111111111111111,10,9,True,True,81,2.06,3,extraction,0.85
5792cb4d,10,10,10,10,1.0,7,7,False,False,100,2.32,2,symmetry,0.6
57aa92db,17,18,17,18,1.0,4,4,False,False,306,6.36,4,symmetry,0.6
57edb29d,20,24,5,7,0.07291666666666667,6,2,True,True,480,9.82,3,extraction,0.85
5833af48,16,18,9,15,0.46875,4,2,True,True,288,5.94,3,extraction,0.85
58743b76,12,12,12,12,1.0,6,6,False,False,144,3.16,2,symmetry,0.6
58c02a16,7,7,7,7,1.0,3,3,False,False,49,1.16,3,symmetry,0.6
58e15b12,22,18,22,18,1.0,3,3,False,False,396,8.1,3,symmetry,0.6
59341089,3,3,3,12,4.0,3,3,False,True,9,0.38,4,tiling,0.9
5a5a2103,19,19,19,19,1.0,7,6,True,False,361,7.52,2,mapping,0.9
5a719d11,25,17,25,17,1.0,7,6,True,False,425,8.82,3,mapping,0.9
5ad4f10b,22,23,3,3,0.017786561264822136,3,2,True,True,506,10.28,3,extraction,0.85
5ad8a7c0,4,6,4,6,1.0,2,2,False,False,24,0.66,5,symmetry,0.6
5adee1b2,20,20,20,20,1.0,5,5,False,False,400,8.24,2,symmetry,0.6
5af49b42,13,15,13,15,1.0,9,9,False,False,195,4.32,3,symmetry,0.6
5b37cb25,30,30,30,30,1.0,7,7,False,False,900,18.32,2,symmetry,0.6
5b526a93,22,16,22,16,1.0,2,3,True,False,352,7.18,2,mapping,0.9
5b692c0f,14,14,14,14,1.0,3,3,False,False,196,4.08,2,symmetry,0.6
5b6cbef5,4,4,16,16,16.0,2,2,False,True,16,0.5,5,tiling,0.9
5bd6f4ac,9,9,3,3,0.1111111111111111,10,5,True,True,81,2.0,4,extraction,0.85
5c0a986e,10,10,10,10,1.0,3,3,False,False,100,2.18,3,symmetry,0.6
5c2c9af4,23,23,23,23,1.0,2,2,False,False,529,10.72,3,symmetry,0.6
5d2a5c43,6,9,6,4,0.4444444444444444,3,2,True,True,54,1.28,5,extraction,0.85
5d588b4d,8,11,5,11,0.625,2,2,False,True,88,1.92,4,extraction,0.85
5daaa586,12,12,8,8,0.4444444444444444,5,5,False,True,144,3.14,3,extraction,0.85
5e6bbc0b,5,6,5,6,1.0,3,4,True,False,30,0.82,4,mapping,0.9
5ecac7f7,5,17,5,5,0.29411764705882354,9,4,True,True,85,2.02,3,extraction,0.85
5ffb2104,6,6,6,6,1.0,5,5,False,False,36,0.98,3,symmetry,0.6
60a26a3e,14,16,14,16,1.0,2,3,True,False,224,4.64,3,mapping,0.9
60b61512,9,9,9,9,1.0,2,3,True,False,81,1.76,2,mapping,0.9
60c09cac,4,4,8,8,4.0,3,3,False,True,16,0.48,2,tiling,0.9
60d73be6,10,15,10,15,1.0,7,7,False,False,150,3.34,3,symmetry,0.6
6150a2bd,3,3,3,3,1.0,4,4,False,False,9,0.38,2,symmetry,0.6
6165ea8f,20,20,17,17,0.7225,6,8,True,True,400,8.34,3,extraction,0.85
623ea044,15,15,15,15,1.0,2,2,False,False,225,4.64,3,symmetry,0.6
626c0bcc,7,7,7,7,1.0,2,5,True,False,49,1.18,3,mapping,0.9
62ab2642,10,9,10,9,1.0,2,4,True,False,90,1.98,3,mapping,0.9
62b74c02,4,12,4,12,1.0,4,3,True,False,48,1.16,3,mapping,0.9
62c24649,3,3,6,6,4.0,4,4,False,True,9,0.4,3,tiling,0.9
6350f1f4,5,5,5,5,1.0,3,3,False,False,25,0.7,4,symmetry,0.6
63613498,10,10,10,10,1.0,7,6,True,False,100,2.32,3,mapping,0.9
639f5a19,23,23,23,23,1.0,2,6,True,False,529,10.78,2,mapping,0.9
642248e4,14,10,14,10,1.0,4,4,False,False,140,3.02,3,symmetry,0.6
642d658d,22,22,1,1,0.002066115702479339,8,1,True,True,484,9.92,3,extraction,0.85
6430c8c4,9,4,4,4,0.4444444444444444,4,2,True,True,36,0.92,4,extraction,0.85
6455b5f5,11,16,11,16,1.0,2,4,True,False,176,3.72,4,mapping,0.9
64a7c07e,5,5,5,5,1.0,2,2,False,False,25,0.64,3,symmetry,0.6
652646ff,20,20,18,6,0.27,6,4,True,True,400,8.28,4,extraction,0.85
662c240a,9,3,3,3,0.3333333333333333,6,2,True,True,27,0.78,4,extraction,0.85
668eec9a,16,16,5,3,0.05859375,5,5,False,True,256,5.38,3,extraction,0.85
66ac4c3b,22,22,22,22,1.0,3,3,False,False,484,9.84,2,symmetry,0.6
66e6c45b,4,4,4,4,1.0,5,5,False,False,16,0.56,2,symmetry,0.6
66f2d22f,4,14,4,7,0.5,3,2,True,True,56,1.3,4,extraction,0.85
67385a82,4,4,4,4,1.0,2,3,True,False,16,0.5,4,mapping,0.9
673ef223,20,10,20,10,1.0,3,4,True,False,200,4.2,3,mapping,0.9
67636eac,16,10,9,3,0.16875,4,4,False,True,160,3.42,3,extraction,0.85
6773b310,11,11,3,3,0.0743801652892562,3,2,True,True,121,2.6,4,extraction,0.85
67a3c6ac,7,7,7,7,1.0,4,4,False,False,49,1.2,3,symmetry,0.6
67a423a3,8,8,8,8,1.0,3,4,True,False,64,1.48,3,mapping,0.9
67c52801,4,5,4,5,1.0,3,3,False,False,20,0.6,4,symmetry,0.6
67e8384a,3,3,6,6,4.0,4,4,False,True,9,0.42,4,tiling,0.9
681b3aeb,10,10,3,3,0.09,3,2,True,True,100,2.16,3,extraction,0.85
6855a6e4,15,15,15,15,1.0,3,3,False,False,225,4.68,3,symmetry,0.6
689c358e,11,11,11,11,1.0,6,7,True,False,121,2.72,2,mapping,0.9
68b16354,5,5,5,5,1.0,6,6,False,False,25,0.8,3,symmetry,0.6
68b67ca3,6,6,3,3,0.25,5,5,False,True,36,0.98,3,extraction,0.85
68bc2e87,18,19,5,1,0.014619883040935672,6,5,True,True,342,7.14,4,extraction,0.85
692cd3b6,15,15,15,15,1.0,3,4,True,False,225,4.7,3,mapping,0.9
694f12f3,10,10,10,10,1.0,2,4,True,False,100,2.16,2,mapping,0.9
695367ec,2,2,15,15,56.25,1,2,True,True,4,0.2,3,tiling,0.9
696d4842,20,20,20,20,1.0,5,5,False,False,400,8.26,3,symmetry,0.6
69889d6e,10,10,10,10,1.0,3,3,False,False,100,2.2,4,symmetry,0.6
6a11f6da,15,5,5,5,0.3333333333333333,4,4,False,True,75,1.76,5,extraction,0.85
6a1e5592,10,15,10,15,1.0,3,3,True,False,150,3.16,2,mapping,0.9
6a980be1,18,19,18,19,1.0,4,4,False,False,342,7.06,3,symmetry,0.6
6aa20dc0,20,21,20,21,1.0,4,4,False,False,420,8.62,3,symmetry,0.6
6ad5bdfd,5,11,5,11,1.0,8,8,False,False,55,1.48,3,symmetry,0.6
6b9890af,19,22,5,5,0.05980861244019139,3,3,False,True,418,8.54,3,extraction,0.85
6bcdb01e,7,7,7,7,1.0,3,3,False,False,49,1.14,2,symmetry,0.6
6c434453,10,10,10,10,1.0,2,3,True,False,100,2.14,2,mapping,0.9
6ca952ad,7,7,7,7,1.0,2,2,False,False,49,1.12,3,symmetry,0.6
6cbe9eb8,14,22,12,11,0.42857142857142855,8,5,True,True,308,6.48,3,extraction,0.85
6cdd2623,13,20,13,20,1.0,4,2,True,False,260,5.38,3,mapping,0.9
6cf79266,20,20,20,20,1.0,2,3,True,False,400,8.16,3,mapping,0.9
6d0160f0,11,11,11,11,1.0,7,6,True,False,121,2.76,4,mapping,0.9
6d0aefbc,3,3,3,6,2.0,3,3,False,True,9,0.38,4,tiling,0.7
6d1d5c90,6,7,6,6,0.8571428571428571,8,6,True,True,42,1.18,3,mapping,0.7
6d58a25d,20,20,20,20,1.0,3,3,False,False,400,8.18,3,symmetry,0.6
6d75e8bb,7,8,7,8,1.0,2,3,True,False,56,1.28,3,mapping,0.9
6df30ad6,10,10,10,10,1.0,5,2,True,False,100,2.24,5,mapping,0.9
6e02f1e3,3,3,3,3,1.0,1,2,True,False,9,0.34,5,mapping,0.9
6e19193c,10,10,10,10,1.0,2,2,False,False,100,2.12,2,symmetry,0.6
6e82a1ae,10,10,10,10,1.0,2,4,True,False,100,2.18,3,mapping,0.9
6ea4a07e,3,3,3,3,1.0,2,2,True,False,9,0.38,6,mapping,0.9
6ecd11f4,27,25,3,3,0.013333333333333334,9,7,True,True,675,13.88,3,extraction,0.85
6f473927,3,3,3,6,2.0,2,3,True,True,9,0.36,4,tiling,0.7
6f8cd79b,5,4,5,4,1.0,1,2,True,False,20,0.54,4,mapping,0.9
6fa7a44f,3,3,6,3,2.0,4,4,False,True,9,0.42,4,tiling,0.7
6ffe8f07,19,19,19,19,1.0,4,5,True,False,361,7.48,4,mapping,0.9
7039b2d7,27,27,5,5,0.03429355281207133,2,1,True,True,729,14.7,3,extraction,0.85
705a3229,12,10,12,10,1.0,4,4,False,False,120,2.64,4,symmetry,0.6
712bf12e,13,14,13,14,1.0,3,3,False,False,182,3.82,3,symmetry,0.6
72207abc,3,19,3,19,1.0,4,4,False,False,57,1.36,3,symmetry,0.6
72322fa7,13,12,13,12,1.0,3,3,False,False,156,3.3,3,symmetry,0.6
72a961c9,9,6,9,6,1.0,3,3,False,False,54,1.28,4,symmetry,0.6
72ca375d,10,10,2,2,0.04,4,1,True,True,100,2.16,3,extraction,0.85
73182012,12,12,4,4,0.1111111111111111,5,5,False,True,144,3.14,3,extraction,0.85
73c3b0d8,12,8,12,8,1.0,3,3,False,False,96,2.12,4,symmetry,0.6
73ccf9c2,21,21,4,5,0.045351473922902494,2,2,False,True,441,8.96,3,extraction,0.85
7447852a,3,15,3,15,1.0,2,3,True,False,45,1.06,3,mapping,0.9
7468f01a,12,16,5,5,0.13020833333333334,3,2,True,True,192,4.0,3,extraction,0.85
746b3537,4,2,3,1,0.375,3,3,False,True,8,0.38,5,extraction,0.85
74dd1130,3,3,3,3,1.0,3,3,False,False,9,0.38,4,symmetry,0.6
753ea09b,30,30,30,30,1.0,3,3,False,False,900,18.18,3,symmetry,0.6
758abdf0,16,8,16,8,1.0,3,3,False,False,128,2.72,2,symmetry,0.6
759f3fd3,10,10,10,10,1.0,2,3,True,False,100,2.14,2,mapping,0.9
75b8110e,8,8,4,4,0.25,5,3,True,True,64,1.54,5,extraction,0.85
760b3cac,6,9,6,9,1.0,3,3,False,False,54,1.26,3,symmetry,0.6
762cd429,10,14,10,14,1.0,4,4,False,False,140,3.02,3,symmetry,0.6
770cc55f,13,5,13,5,1.0,3,4,True,False,65,1.52,4,mapping,0.9
776ffc46,20,20,20,20,1.0,4,4,False,False,400,8.24,4,symmetry,0.6
77fdfe62,6,6,2,2,0.1111111111111111,7,4,True,True,36,1.0,3,extraction,0.85
780d0b14,18,22,2,3,0.015151515151515152,6,5,True,True,396,8.2,3,extraction,0.85
782b5218,10,10,10,10,1.0,3,3,False,False,100,2.18,3,symmetry,0.6
7837ac64,29,29,3,3,0.01070154577883472,4,3,True,True,841,17.04,4,extraction,0.85
78e78cff,11,11,11,11,1.0,3,3,False,False,121,2.58,2,symmetry,0.6
79369cc6,18,16,18,16,1.0,5,5,False,False,288,6.02,3,symmetry,0.6
794b24be,3,3,3,3,1.0,2,2,True,False,9,0.46,10,mapping,0.9
7953d61e,4,4,8,8,4.0,4,4,False,True,16,0.58,5,tiling,0.9
79cce52d,7,7,6,6,0.7346938775510204,9,6,True,True,49,1.34,3,extraction,0.85
7acdf6d3,16,16,16,16,1.0,3,3,False,False,256,5.28,2,symmetry,0.6
7b6016b9,22,25,22,25,1.0,2,3,True,False,550,11.16,3,mapping,0.9
7b7f7511,3,6,3,3,0.5,3,3,False,True,18,0.54,3,extraction,0.85
7bb29440,12,11,4,6,0.18181818181818182,4,2,True,True,132,2.86,5,extraction,0.85
7c008303,9,9,6,6,0.4444444444444444,6,4,True,True,81,1.88,3,extraction,0.85
7c8af763,10,10,10,10,1.0,4,3,True,False,100,2.2,3,mapping,0.9
7c9b52a0,16,16,3,4,0.046875,6,5,True,True,256,5.4,3,extraction,0.85
7d18a6fb,17,17,7,7,0.1695501730103806,7,5,True,True,289,6.08,3,extraction,0.85
7d1f7ee8,22,28,22,28,1.0,6,4,True,False,616,12.58,3,mapping,0.9
7d419a02,16,14,16,14,1.0,3,4,True,False,224,4.68,3,mapping,0.9
7d7772cc,16,16,16,16,1.0,5,5,False,False,256,5.36,2,symmetry,0.6
7ddcd7ec,10,10,10,10,1.0,2,2,False,False,100,2.14,3,symmetry,0.6
7df24a62,23,23,23,23,1.0,3,3,False,False,529,10.78,4,symmetry,0.6
7e02026e,12,12,12,12,1.0,2,3,True,False,144,3.04,3,mapping,0.9
7e0986d6,13,16,13,16,1.0,3,2,True,False,208,4.3,2,mapping,0.9
7e2bad24,16,16,16,16,1.0,4,4,False,False,256,5.34,3,symmetry,0.6
7e4d4f7c,6,8,3,8,0.5,2,3,True,True,48,1.14,4,extraction,0.85
7e576d6e,30,30,30,30,1.0,4,4,False,False,900,18.22,3,symmetry,0.6
7ec998c9,8,8,8,8,1.0,2,3,True,False,64,1.44,3,mapping,0.9
7ee1c6ea,10,10,10,10,1.0,4,4,False,False,100,2.22,3,symmetry,0.6
7f4411dc,17,17,17,17,1.0,2,2,False,False,289,5.92,3,symmetry,0.6
7fe24cdd,3,3,6,6,4.0,4,4,False,True,9,0.4,3,tiling,0.9
80214e03,20,14,3,3,0.03214285714285714,7,6,True,True,280,5.92,3,extraction,0.85
80af3007,16,18,9,9,0.28125,2,2,False,True,288,5.9,3,extraction,0.85
810b9b61,15,15,15,15,1.0,2,3,True,False,225,4.66,3,mapping,0.9
817e6c09,7,7,7,7,1.0,2,3,True,False,49,1.18,5,mapping,0.9
81c0276b,16,16,2,3,0.0234375,4,3,True,True,256,5.32,3,extraction,0.85
825aa9e9,6,10,6,10,1.0,3,3,False,False,60,1.4,4,symmetry,0.6
82819916,12,8,12,8,1.0,8,8,False,False,96,2.32,4,symmetry,0.6
83302e8f,29,29,29,29,1.0,2,3,True,False,841,16.98,3,mapping,0.9
833966f4,5,1,5,1,1.0,5,5,False,False,5,0.34,2,symmetry,0.6
833dafe3,4,4,8,8,4.0,4,4,False,True,16,0.52,2,tiling,0.9
834ec97d,5,5,5,5,1.0,2,3,True,False,25,0.66,3,mapping,0.9
83b6b474,6,6,4,4,0.4444444444444444,5,5,False,True,36,0.96,2,extraction,0.85
83eb0a57,30,30,9,5,0.05,4,3,True,True,900,18.2,3,extraction,0.85
8403a5d5,10,10,10,10,1.0,2,3,True,False,100,2.16,3,mapping,0.9
84551f4c,3,16,3,16,1.0,3,3,False,False,48,1.14,3,symmetry,0.6
845d6e51,16,16,16,16,1.0,6,5,True,False,256,5.4,3,mapping,0.9
846bdb03,13,13,4,6,0.14201183431952663,4,4,False,True,169,3.62,4,extraction,0.85
84ba50d3,9,9,9,9,1.0,3,3,False,False,81,1.8,3,symmetry,0.6
84db8fc4,10,10,10,10,1.0,3,4,True,False,100,2.22,4,mapping,0.9
84f2aca1,6,6,6,6,1.0,2,3,True,False,36,0.9,4,mapping,0.9
855e0971,13,15,13,15,1.0,4,4,False,False,195,4.14,4,symmetry,0.6
8597cfd7,11,9,2,2,0.04040404040404041,4,1,True,True,99,2.16,4,extraction,0.85
85b81ff1,13,14,13,14,1.0,2,2,False,False,182,3.8,4,symmetry,0.6
85c4e7cd,8,8,8,8,1.0,4,4,False,False,64,1.52,4,symmetry,0.6
85fa5666,12,12,12,12,1.0,6,6,False,False,144,3.2,4,symmetry,0.6
8618d23e,4,2,5,3,1.875,4,5,True,True,8,0.4,3,rule_based,0.5
868de0fa,11,11,11,11,1.0,2,4,True,False,121,2.64,5,mapping,0.9
8719f442,3,3,15,15,25.0,2,2,False,True,9,0.32,3,tiling,0.9
8731374e,27,23,10,9,0.14492753623188406,10,2,True,True,621,12.72,3,extraction,0.85
878187ab,16,16,16,16,1.0,3,3,True,False,256,5.28,2,mapping,0.9
87ab05b8,4,4,4,4,1.0,6,2,True,False,16,0.54,3,mapping,0.9
880c1354,8,8,8,8,1.0,6,6,False,False,64,1.58,3,symmetry,0.6
88207623,16,16,16,16,1.0,5,5,False,False,256,5.36,2,symmetry,0.6
8886d717,11,11,11,11,1.0,4,4,False,False,121,2.64,3,symmetry,0.6
88a10436,8,7,8,7,1.0,5,4,True,False,56,1.36,3,mapping,0.9
88a62173,5,5,2,2,0.16,2,2,False,True,25,0.64,3,extraction,0.85
890034e9,21,21,21,21,1.0,4,4,False,False,441,9.04,3,symmetry,0.6
891232d6,23,20,23,20,1.0,3,7,True,False,460,9.48,4,mapping,0.9
896d5239,15,12,15,12,1.0,3,4,True,False,180,3.8,3,mapping,0.9
8a004b2b,17,18,7,7,0.16013071895424835,5,5,False,True,306,6.38,3,extraction,0.85
8a371977,23,23,23,23,1.0,2,3,True,False,529,10.74,3,mapping,0.9
8a6d367c,27,21,14,14,0.345679012345679,8,3,True,True,567,11.62,3,extraction,0.85
8abad3cf,7,7,4,10,0.8163265306122449,4,4,False,True,49,1.18,2,extraction,0.6
8b28cd80,3,3,9,9,9.0,2,2,False,True,9,0.36,5,tiling,0.9
8ba14f53,4,9,3,3,0.25,3,3,False,True,36,0.96,6,extraction,0.85
8be77c9e,3,3,6,3,2.0,2,2,False,True,9,0.32,3,tiling,0.7
8cb8642d,13,14,13,14,1.0,3,3,False,False,182,3.82,3,symmetry,0.6
8d5021e8,3,2,9,4,6.0,2,2,False,True,6,0.26,3,tiling,0.9
8d510a79,10,10,10,10,1.0,4,4,False,False,100,2.2,2,symmetry,0.6
8dab14c2,14,16,14,16,1.0,2,2,False,False,224,4.64,4,symmetry,0.6
8dae5dfc,17,17,17,17,1.0,7,7,False,False,289,6.14,4,symmetry,0.6
8e1813be,12,10,3,3,0.075,5,3,True,True,120,2.62,3,extraction,0.85
8e2edd66,3,3,9,9,9.0,2,2,False,True,9,0.32,3,tiling,0.9
8e301a54,10,10,10,10,1.0,4,4,False,False,100,2.22,3,symmetry,0.6
8e5a5113,3,11,3,11,1.0,5,4,True,False,33,0.9,3,mapping,0.9
8eb1be9a,10,12,10,12,1.0,2,2,False,False,120,2.52,2,symmetry,0.6
8ee62060,12,12,12,12,1.0,3,3,False,False,144,3.06,3,symmetry,0.6
8efcae92,20,20,9,9,0.2025,3,2,True,True,400,8.16,3,extraction,0.85
8f2ea7aa,9,9,9,9,1.0,2,2,False,False,81,1.76,3,symmetry,0.6
8fbca751,8,12,8,12,1.0,2,3,True,False,96,2.08,3,mapping,0.9
8fff9e47,6,4,12,12,6.0,9,9,False,True,24,0.88,2,tiling,0.9
902510d5,6,9,6,9,1.0,4,3,True,False,54,1.3,4,mapping,0.9
90347967,3,3,3,3,1.0,5,5,False,False,9,0.44,3,symmetry,0.6
90c28cc7,21,21,2,2,0.009070294784580499,5,4,True,True,441,9.06,3,extraction,0.85
90f3ed37,15,10,15,10,1.0,2,3,True,False,150,3.16,3,mapping,0.9
9110e3c5,7,7,3,3,0.1836734693877551,8,2,True,True,49,1.32,7,extraction,0.85
913fb3ed,16,16,16,16,1.0,3,5,True,False,256,5.36,4,mapping,0.9
91413438,3,3,9,9,9.0,2,2,False,True,9,0.34,4,tiling,0.9
91714a58,16,16,16,16,1.0,10,2,True,False,256,5.42,3,mapping,0.9
9172f3a0,3,3,9,9,9.0,3,3,False,True,9,0.34,2,tiling,0.9
917bccba,12,12,12,12,1.0,3,3,False,False,144,3.06,3,symmetry,0.6
928ad970,15,13,15,13,1.0,3,3,False,False,195,4.08,3,symmetry,0.6
92e50de0,23,23,23,23,1.0,3,3,False,False,529,10.76,3,symmetry,0.6
9344f635,8,8,8,8,1.0,4,4,False,False,64,1.5,3,symmetry,0.6
9356391f,16,16,16,16,1.0,6,6,False,False,256,5.4,2,symmetry,0.6
93b4f4b3,13,12,13,6,0.5,5,4,True,True,156,3.34,2,extraction,0.85
93b581b8,6,6,6,6,1.0,5,5,False,False,36,0.98,3,symmetry,0.6
93c31fbe,22,23,22,23,1.0,3,3,False,False,506,10.3,3,symmetry,0.6
94133066,22,21,9,9,0.17532467532467533,6,5,True,True,462,9.52,3,extraction,0.85
941d9a10,10,10,10,10,1.0,2,5,True,False,100,2.2,3,mapping,0.9
94414823,10,10,10,10,1.0,4,4,False,False,100,2.22,3,symmetry,0.6
9473c6fb,6,10,6,10,1.0,4,4,True,False,60,1.42,3,mapping,0.9
94be5b80,18,14,18,14,1.0,5,5,False,False,252,5.28,2,symmetry,0.6
94f9d214,8,4,4,4,0.5,3,2,True,True,32,0.82,4,extraction,0.85
952a094c,10,10,10,10,1.0,6,6,False,False,100,2.3,3,symmetry,0.6
9565186b,3,3,3,3,1.0,2,2,True,False,9,0.34,4,mapping,0.9
95755ff2,11,11,11,11,1.0,10,10,False,False,121,2.88,3,symmetry,0.6
95990924,10,10,10,10,1.0,2,6,True,False,100,2.22,3,mapping,0.9
95a58926,21,17,21,17,1.0,3,3,False,False,357,7.32,3,symmetry,0.6
963c33f8,16,16,16,16,1.0,4,4,False,False,256,5.34,3,symmetry,0.6
963e52fc,5,7,5,14,2.0,3,3,False,True,35,0.88,3,tiling,0.7
963f59bc,12,12,12,12,1.0,3,3,False,False,144,3.08,4,symmetry,0.6
96a8c0cd,22,12,22,12,1.0,4,4,False,False,264,5.52,4,symmetry,0.6
9720b24f,3,3,3,3,1.0,3,2,True,False,9,0.36,4,mapping,0.9
97239e3d,17,17,17,17,1.0,4,4,False,False,289,6.0,3,symmetry,0.6
973e499e,3,3,9,9,9.0,2,3,True,True,9,0.34,3,tiling,0.9
9772c176,22,21,22,21,1.0,2,3,True,False,462,9.38,2,mapping,0.9
97999447,10,12,10,12,1.0,4,5,True,False,120,2.64,3,mapping,0.9
97a05b5b,20,10,8,8,0.32,4,3,True,True,200,4.2,3,extraction,0.85
97c75046,10,6,10,6,1.0,3,3,False,False,60,1.38,3,symmetry,0.6
981add89,20,20,20,20,1.0,3,3,False,False,400,8.16,2,symmetry,0.6
9841fdad,14,25,14,25,1.0,5,5,False,False,350,7.24,2,symmetry,0.6
984d8a3e,10,10,10,10,1.0,3,3,False,False,100,2.16,2,symmetry,0.6
985ae207,20,20,20,20,1.0,4,4,False,False,400,8.22,3,symmetry,0.6
98c475bf,20,20,20,20,1.0,4,3,True,False,400,8.22,4,mapping,0.9
98cf29f8,13,18,13,18,1.0,3,3,False,False,234,4.86,3,symmetry,0.6
992798f6,15,16,15,16,1.0,3,4,True,False,240,5.02,4,mapping,0.9
99306f82,15,15,15,15,1.0,5,5,False,False,225,4.76,3,symmetry,0.6
995c5fa3,4,14,3,3,0.16071428571428573,2,3,True,True,56,1.3,4,extraction,0.85
9968a131,4,4,4,4,1.0,3,3,False,False,16,0.48,2,symmetry,0.6
996ec1f3,19,19,3,3,0.024930747922437674,9,5,True,True,361,7.56,3,extraction,0.85
99b1bc43,9,4,4,4,0.4444444444444444,4,2,True,True,36,0.92,4,extraction,0.85
99caaf76,8,8,8,8,1.0,10,10,False,False,64,1.74,3,symmetry,0.6
99fa7670,6,6,6,6,1.0,3,3,False,False,36,0.92,4,symmetry,0.6
9a4bb226,15,15,3,3,0.04,10,3,True,True,225,4.82,3,extraction,0.85
9aec4887,14,16,5,5,0.11160714285714286,6,6,False,True,224,4.78,3,extraction,0.85
9af7a82c,4,3,5,4,1.6666666666666667,4,5,True,True,12,0.5,4,rule_based,0.5
9b2a60aa,23,17,23,17,1.0,4,4,False,False,391,8.04,3,symmetry,0.6
9b30e358,10,5,10,5,1.0,3,3,False,False,50,1.16,2,symmetry,0.6
9b365c51,6,15,6,15,1.0,5,4,True,False,90,2.04,3,mapping,0.9
9b4c17c4,12,11,12,11,1.0,3,3,False,False,132,2.84,4,symmetry,0.6
9b5080bb,23,23,23,23,1.0,4,4,False,False,529,10.8,3,symmetry,0.6
9ba4a9aa,22,22,3,3,0.01859504132231405,9,2,True,True,484,9.96,3,extraction,0.85
9bebae7a,11,10,11,10,1.0,3,2,True,False,110,2.4,5,mapping,0.9
9c1e755f,10,10,10,10,1.0,5,5,False,False,100,2.28,4,symmetry,0.6
9c56f360,7,8,7,8,1.0,3,3,False,False,56,1.3,3,symmetry,0.6
9caba7c3,19,19,19,19,1.0,3,5,True,False,361,7.44,3,mapping,0.9
9caf5b84,6,6,6,6,1.0,5,3,True,False,36,0.96,4,mapping,0.9
9d9215db,19,19,19,19,1.0,4,4,False,False,361,7.44,3,symmetry,0.6
9ddd00f0,5,5,5,5,1.0,2,2,False,False,25,0.62,2,symmetry,0.6
9def23fe,20,15,20,15,1.0,3,3,False,False,300,6.18,3,symmetry,0.6
9dfd6313,4,4,4,4,1.0,4,4,False,False,16,0.54,3,symmetry,0.6
9edfc990,15,15,15,15,1.0,10,10,False,False,225,4.96,3,symmetry,0.6
9f236235,19,19,4,4,0.0443213296398892,5,4,True,True,361,7.46,3,extraction,0.85
9f27f097,12,12,12,12,1.0,4,3,True,False,144,3.08,3,mapping,0.9
9f41bd9c,17,17,17,17,1.0,3,4,True,False,289,5.96,2,mapping,0.9
9f5f939b,16,16,16,16,1.0,2,3,True,False,256,5.28,3,mapping,0.9
9f669b64,10,10,10,10,1.0,4,4,False,False,100,2.22,3,symmetry,0.6
9f8de559,14,14,14,14,1.0,6,6,False,False,196,4.24,4,symmetry,0.6
a04b2602,20,20,20,20,1.0,3,4,True,False,400,8.2,3,mapping,0.9
a096bf4d,26,21,26,21,1.0,6,6,False,False,546,11.22,3,symmetry,0.6
a09f6c25,19,19,19,19,1.0,2,4,True,False,361,7.4,3,mapping,0.9
a1570a43,9,10,9,10,1.0,3,3,False,False,90,2.0,4,symmetry,0.6
a1aa0c1e,21,21,3,5,0.034013605442176874,6,5,True,True,441,9.1,3,extraction,0.85
a2d730bd,22,16,22,16,1.0,3,3,False,False,352,7.22,3,symmetry,0.6
a2fd1cf0,10,16,10,16,1.0,3,4,True,False,160,3.4,3,mapping,0.9
a3325580,10,10,3,1,0.03,4,1,True,True,100,2.22,6,extraction,0.85
a3f84088,16,16,16,16,1.0,2,3,True,False,256,5.3,4,mapping,0.9
a406ac07,10,10,10,10,1.0,6,6,False,False,100,2.3,3,symmetry,0.6
a416b8f3,4,3,4,6,2.0,5,5,False,True,12,0.5,3,tiling,0.7
a416fc5b,11,11,11,11,1.0,3,5,True,False,121,2.64,3,mapping,0.9
a48eeaf7,10,10,10,10,1.0,3,3,False,False,100,2.16,2,symmetry,0.6
a5313dff,8,8,8,8,1.0,2,3,True,False,64,1.44,3,mapping,0.9
a57f2f04,23,19,23,19,1.0,4,4,False,False,437,8.96,3,symmetry,0.6
a59b95c0,3,3,6,6,4.0,2,2,False,True,9,0.36,5,tiling,0.9
a5f85a15,8,8,8,8,1.0,2,3,True,False,64,1.44,3,mapping,0.9
a61ba2ce,13,13,4,4,0.09467455621301775,5,5,False,True,169,3.62,2,extraction,0.85
a61f2674,9,9,9,9,1.0,2,3,True,False,81,1.76,2,mapping,0.9
a644e277,17,21,9,9,0.226890756302521,3,3,False,True,357,7.3,2,extraction,0.85
